sampling_campaign;site;tBeg;tEnd;sample_name;operator;value;parameter;unit;comment;siteCode;variableCode;labSampleCode;tMid
1;Weidendammer Brücke;2016-07-13 16:25:00;2016-07-13 17:05:00;Weid_2;>;3200000;Ecoli;MPN/100 mL;;KWB_WEID;EColi;O2016-16334;2016-07-13 16:45:00
1;Weidendammer Brücke;2016-07-13 16:25:00;2016-07-13 17:05:00;Weid_2;>;37770;Entero;MPN/100 mL;;KWB_WEID;FaeStr;O2016-16334;2016-07-13 16:45:00
1;Weidendammer Brücke;2016-07-13 16:25:00;2016-07-13 17:05:00;Weid_2;<;0.03;Ortho_P;mg/L;;KWB_WEID;PO4;O2016-16334;2016-07-13 16:45:00
1;Weidendammer Brücke;2016-07-13 16:25:00;2016-07-13 17:05:00;Weid_2;;2.71;P_TOTAL;mg/L;;KWB_WEID;P;O2016-16334;2016-07-13 16:45:00
1;Weidendammer Brücke;2016-07-13 16:25:00;2016-07-13 17:05:00;Weid_2;<;0.05;NH4_N;mg/L;;KWB_WEID;NH4;O2016-16334;2016-07-13 16:45:00
1;Weidendammer Brücke;2016-07-13 16:25:00;2016-07-13 17:05:00;Weid_2;<;0.5;NO3_N;mg/L;;KWB_WEID;NO3;O2016-16334;2016-07-13 16:45:00
1;Weidendammer Brücke;2016-07-13 16:25:00;2016-07-13 17:05:00;Weid_2;;61;AFS;mg/L;;KWB_WEID;TSS;O2016-16334;2016-07-13 16:45:00
1;Weidendammer Brücke;2016-07-13 16:25:00;2016-07-13 17:05:00;Weid_2;;37;BSB5;mg/L;;KWB_WEID;BSB;O2016-16334;2016-07-13 16:45:00
1;Weidendammer Brücke;2016-07-13 16:25:00;2016-07-13 17:05:00;Weid_2;;104;CSB;mg/L;;KWB_WEID;CSB;O2016-16334;2016-07-13 16:45:00
1;Weidendammer Brücke;2016-07-13 16:25:00;2016-07-13 17:05:00;Weid_2;;7.28;chloro;µg/L;;KWB_WEID;ChA;O2016-16334;2016-07-13 16:45:00
